样本号,酸解烃_甲烷,酸解烃_乙烷,酸解烃_乙烯,酸解烃_丙烷,酸解烃_丙烯,酸解烃_异丁烷,酸解烃_正丁烷,酸解烃_异戊烷,酸解烃_正戊烷,热释烃_甲烷,热释烃_乙烷,热释烃_乙烯,热释烃_丙烷,热释烃_丙烯,热释烃_异丁烷,热释烃_正丁烷,热释烃_异戊烷,热释烃_正戊烷,class
s124,831 ,32.2 ,0.66 ,10.3 ,0.16 ,2.59 ,2.73 ,1.40 ,0.58 ,9.53 ,0.20 ,1.74 ,0.08 ,4.16 ,0.05 ,0.03 ,0.01 ,0.02 ,0
s125,357 ,12.6 ,0.82 ,4.06 ,0.08 ,1.08 ,1.16 ,0.57 ,0.04 ,18.2 ,0.31 ,0.71 ,0.11 ,1.59 ,0.02 ,0.06 ,0.02 ,0.05 ,0
s126,666 ,21.1 ,0.93 ,5.07 ,0.07 ,1.04 ,0.85 ,0.30 ,0.00 ,25.6 ,1.32 ,7.82 ,1.06 ,7.28 ,1.50 ,1.02 ,0.22 ,0.50 ,0
s127,807 ,27.3 ,0.57 ,7.81 ,0.07 ,1.74 ,1.59 ,0.53 ,0.00 ,15.2 ,0.34 ,0.38 ,0.10 ,3.03 ,0.03 ,0.07 ,0.02 ,0.04 ,0
s128,298 ,10.2 ,0.50 ,2.90 ,0.10 ,0.68 ,0.73 ,0.20 ,0.00 ,15.3 ,0.31 ,0.61 ,0.10 ,3.13 ,0.03 ,0.09 ,0.02 ,0.05 ,0
s129,627 ,20.4 ,0.35 ,5.33 ,0.06 ,1.15 ,1.03 ,0.30 ,0.00 ,22.3 ,0.45 ,0.87 ,0.16 ,1.40 ,0.04 ,0.10 ,0.02 ,0.05 ,0
s130,710 ,23.5 ,0.41 ,6.35 ,0.08 ,1.34 ,1.21 ,0.74 ,0.00 ,13.1 ,0.26 ,0.76 ,0.13 ,1.97 ,0.02 ,0.09 ,,0.06 ,0
s131,827 ,26.4 ,0.36 ,7.05 ,0.07 ,1.47 ,1.27 ,0.40 ,0.00 ,15.2 ,0.35 ,0.74 ,0.12 ,1.28 ,0.02 ,0.06 ,0.02 ,0.04 ,0
s132,650 ,19.9 ,0.39 ,5.03 ,0.04 ,1.09 ,0.90 ,0.06 ,0.00 ,13.7 ,0.30 ,1.04 ,0.14 ,2.61 ,0.03 ,0.11 ,0.04 ,0.10 ,0
s133,519 ,14.0 ,0.41 ,2.92 ,0.00 ,0.60 ,0.39 ,0.00 ,0.00 ,13.9 ,0.33 ,0.75 ,0.12 ,21.0 ,0.02 ,0.11 ,0.02 ,0.08 ,0
s134,660 ,19.3 ,0.44 ,4.69 ,0.04 ,1.00 ,0.74 ,0.21 ,0.00 ,26.3 ,0.32 ,0.77 ,0.09 ,1.72 ,0.03 ,0.06 ,,0.03 ,0
s135,657 ,19.6 ,0.44 ,4.90 ,0.00 ,0.99 ,0.76 ,0.00 ,0.00 ,15.1 ,0.33 ,0.73 ,0.15 ,7.96 ,0.03 ,0.12 ,0.04 ,0.08 ,0
s136,490 ,15.3 ,0.64 ,3.99 ,0.05 ,0.83 ,0.71 ,0.00 ,0.00 ,13.3 ,0.34 ,1.23 ,0.12 ,10.0 ,0.02 ,0.06 ,0.02 ,0.03 ,0
s137,485 ,18.2 ,0.67 ,6.12 ,0.16 ,1.57 ,2.06 ,1.20 ,0.78 ,21.7 ,0.44 ,0.93 ,0.13 ,1.42 ,0.03 ,0.09 ,0.02 ,0.05 ,0
s138,632 ,30.1 ,0.52 ,10.5 ,0.16 ,2.29 ,0.00 ,0.00 ,1.01 ,11.3 ,0.29 ,0.92 ,0.10 ,1.64 ,0.02 ,0.10 ,0.01 ,0.09 ,0
s139,597 ,22.1 ,0.55 ,7.42 ,0.12 ,1.84 ,2.22 ,1.00 ,0.63 ,15.3 ,0.34 ,0.66 ,0.10 ,4.90 ,0.02 ,0.07 ,0.01 ,0.03 ,0
s140,449 ,16.8 ,0.46 ,5.60 ,0.12 ,1.40 ,1.80 ,0.95 ,0.64 ,10.1 ,0.31 ,0.58 ,0.12 ,1.34 ,0.03 ,0.10 ,0.02 ,0.07 ,0
s141,339 ,12.3 ,0.35 ,4.03 ,0.10 ,0.98 ,1.28 ,0.62 ,0.28 ,14.2 ,0.31 ,0.63 ,0.10 ,0.77 ,0.01 ,0.05 ,0.02 ,0.03 ,0
s142,647 ,25.8 ,0.52 ,8.90 ,0.13 ,2.32 ,2.95 ,1.67 ,1.04 ,10.8 ,0.27 ,1.75 ,0.24 ,6.70 ,0.10 ,0.36 ,0.10 ,0.25 ,0
s143,476 ,17.7 ,0.62 ,6.13 ,0.10 ,1.52 ,1.97 ,1.00 ,0.71 ,14.2 ,0.36 ,1.58 ,0.20 ,2.75 ,0.05 ,0.16 ,0.04 ,0.09 ,0
s144,485 ,20.4 ,0.50 ,7.15 ,0.09 ,1.85 ,2.43 ,1.36 ,0.90 ,10.6 ,0.19 ,0.68 ,0.06 ,4.40 ,0.01 ,0.04 ,0.02 ,0.01 ,0
s145,685 ,27.2 ,0.52 ,9.38 ,0.17 ,2.57 ,3.04 ,1.91 ,1.19 ,8.20 ,0.10 ,0.90 ,0.04 ,2.41 ,0.06 ,0.03 ,0.01 ,0.01 ,0
s146,460 ,17.2 ,0.36 ,5.62 ,0.07 ,1.43 ,1.64 ,0.75 ,0.09 ,19.2 ,0.49 ,1.20 ,0.20 ,12.4 ,0.04 ,0.18 ,0.05 ,0.10 ,0
s147,570 ,22.1 ,0.38 ,7.74 ,0.26 ,2.08 ,2.67 ,1.50 ,1.13 ,12.5 ,0.29 ,0.40 ,0.08 ,0.82 ,0.02 ,0.05 ,0.01 ,0.02 ,0
s148,409 ,14.3 ,0.68 ,4.45 ,0.10 ,1.08 ,1.22 ,0.56 ,0.34 ,14.3 ,0.32 ,0.71 ,0.10 ,1.51 ,0.02 ,0.06 ,0.01 ,0.04 ,0
s149,519 ,18.9 ,0.43 ,6.40 ,0.09 ,1.69 ,2.16 ,1.24 ,0.34 ,15.8 ,0.33 ,0.57 ,0.09 ,2.03 ,0.02 ,0.06 ,0.04 ,0.05 ,0
s150,429 ,15.5 ,0.73 ,5.04 ,0.08 ,1.24 ,1.51 ,0.76 ,0.47 ,13.0 ,0.25 ,0.49 ,0.11 ,1.46 ,0.03 ,0.08 ,,0.07 ,0
s151,462 ,16.6 ,0.35 ,5.31 ,0.07 ,1.36 ,1.51 ,0.65 ,0.33 ,15.1 ,0.33 ,0.44 ,0.09 ,0.68 ,0.02 ,0.06 ,0.01 ,0.03 ,0
s152,433 ,14.8 ,0.50 ,4.44 ,0.08 ,1.03 ,1.17 ,0.51 ,0.00 ,12.2 ,0.31 ,0.78 ,0.11 ,1.09 ,0.01 ,0.06 ,0.01 ,0.03 ,0
s153,566 ,20.4 ,0.39 ,6.47 ,0.08 ,1.60 ,1.77 ,0.81 ,0.44 ,5.79 ,0.07 ,0.24 ,0.03 ,0.13 ,0.03 ,0.02 ,,0.01 ,0
s154,591 ,22.5 ,0.62 ,7.67 ,0.09 ,1.99 ,2.50 ,1.43 ,0.94 ,9.96 ,0.26 ,0.60 ,0.09 ,0.98 ,0.02 ,0.06 ,0.01 ,0.03 ,0
s155,332 ,12.3 ,0.42 ,4.02 ,0.08 ,1.02 ,1.24 ,0.47 ,0.26 ,5.00 ,0.09 ,0.21 ,0.03 ,2.26 ,0.01 ,0.01 ,,,0
s156,805 ,31.8 ,0.46 ,11.4 ,0.09 ,2.97 ,3.90 ,2.28 ,1.68 ,12.5 ,0.24 ,0.20 ,0.04 ,0.35 ,0.01 ,0.03 ,,0.01 ,0
s157,630 ,23.1 ,0.60 ,7.33 ,0.07 ,1.79 ,1.91 ,0.91 ,0.44 ,16.2 ,0.34 ,0.93 ,0.11 ,3.03 ,0.03 ,0.08 ,0.02 ,0.04 ,0
s158,658 ,24.7 ,0.50 ,7.94 ,0.08 ,2.12 ,2.36 ,1.06 ,0.57 ,19.8 ,0.41 ,2.46 ,0.24 ,16.4 ,0.43 ,0.28 ,0.09 ,0.29 ,0
s159,562 ,21.7 ,0.64 ,7.14 ,0.11 ,1.80 ,2.19 ,1.07 ,0.70 ,15.7 ,0.33 ,0.56 ,0.10 ,48.4 ,0.05 ,0.07 ,0.01 ,0.04 ,0
s160,563 ,19.9 ,0.71 ,5.81 ,0.11 ,1.38 ,1.42 ,0.55 ,0.17 ,15.8 ,0.28 ,0.56 ,0.08 ,0.98 ,0.02 ,0.05 ,0.02 ,0.03 ,0
s161,527 ,22.0 ,0.64 ,7.22 ,0.12 ,1.84 ,2.03 ,0.96 ,0.58 ,12.6 ,0.30 ,0.53 ,0.09 ,2.90 ,0.02 ,0.09 ,0.02 ,0.05 ,0
s162,768 ,28.7 ,1.26 ,8.99 ,0.10 ,2.12 ,2.30 ,1.01 ,0.48 ,13.7 ,0.27 ,0.46 ,0.08 ,0.64 ,0.02 ,0.05 ,0.01 ,0.02 ,0
s163,723 ,35.0 ,0.69 ,11.0 ,0.12 ,2.56 ,2.67 ,1.22 ,0.43 ,15.0 ,0.26 ,1.08 ,0.13 ,2.13 ,0.12 ,0.09 ,0.02 ,0.02 ,0
